#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
2	تبوؤ		بوأ		 مصدر	تبوأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تبوؤ-تبوؤ [ب و أ]. ""حاول تبوؤ الصدارة"" : اتخاذه مكان الصدارة."
3	تبلبل		بلبل		 مصدر	تبلبل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تبلبل-تبلبل [ب ل ب ل]. 1.""تبلبل الألسنة"" : اختلاطها. 2.""وجد في أفكاره تبلبلا"" : اضطرابا وتشوشا."
4	تأسيس		أسس		 مصدر	أسس		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"تأسيس-تأسيس [أ س س]. 1.""تأسيس عمارة "" : بناؤها، رفع قواعدها. 2.""تأسيس مدينة"" : بناؤها، تشييدها، وضع أساسها."
5	تمحص		لقي		مصدر	تمحص		مذكر			مفرد	+ات			DnN	Pf			Tn	R								
6	جرح		جرح		مصدر	جرح		مذكر			مفرد	جراح;أجراح;جراحات			DnN				Tn									"(اسم من الجرح). ""لم يصب إلا بجرح بسيط"" : بشق في بدنه يسيل منه الدم. ""أصيب اللاعب بجروح بالغة"" l ""جراحات السنان لها التئام*ولا يلتام ما جرح اللسان""."
7	جراح		جرح		مصدر	جرح		مؤنث			جمع		جرح						Tn	R								
8	أجراح		جرح		مصدر	جرح		مؤنث			جمع		جرح						Tn									
9	جراحات		جرح		مصدر	جرح		مؤنث			جمع		جرح						Tn									
10	ري		روي		اسم المصدر	ارتوى		مذكر			مفرد								Tn									"ري-ري [ر و ي] (اسم من ارتوى الشجر). 1.""يعيش في ري"" : في حسن حال ونعمة. 2.""ري الشجر"" : ارتواؤها."
11	بيع		بيع		مصدر	باع		مذكر			مفرد	بيوع			DnN				Tn	R								". 1.""تم بيع كل السلع"" : تصريفها، إعطاء السلع وأخذ مقابلها ثمنا. 2.""لا بيع ولا شراء"" : عبارة تقال لكساد السوق. 3.""سيقام بيع المنزل بالمزاد العلني"" : شراؤه بواسطة المزاد علنا."
12	بيوع		بيع		مصدر	باع		مؤنث			جمع		بيع						Tn									
13	علم		علم		 مصدر	علم		مذكر			مفرد	علوم			DnN				Tn	Rp								" [ع ل م] (مص. علم). 1.""له علم بحقيقة الأمور"" : إدراك الأمور على حقيقتها، له معرفة بها. ""لا علم له بما حصل"". 2. ""العلم نور"" : ما يقذفه الله في قلب من يحب. 3. ""علم: ج: علوم  المعرفة، مسائل تمس موضوعا معينا وتبحث أصوله وقوانينه : علوم اللغة العربية : علم النحو وعلم البلاغة... وعلوم الطبيعة : علم الكيمياء والفيزياء وعلم الفلك وعلم النبات والحيوان... والعلوم التطبيقية : علم الطب وعلم الهندسة والعلوم الإنسانية : الأدب والتاريخ والاجتماع والقانون..."
14	علوم		علم		 مصدر	علم		مؤنث			جمع		علم						Tn									
15	درك		درك		اسم المصدر	الإدراك		مذكر			مفرد								Tn	Rp								"درك-درك [د ر ك] (اسم مصدر من الإدراك). 1. ""حاول الدرك به"" : اللحاق به. 2. ""بلغ الدرك الأسفل"" : أسفل سافلين، أقصى حد. ""يرى بأم عينه الدرك الذي انحدرت إليه الأخلاق"" ""بلغ الغواص درك البحر"". 3. ""استدعاه رجال الدرك"" : قوات الشرطة العسكرية تحافظ على الأمن العام، وبالأخص في الطرق والبوادي."
16	صحوة		صحو		اسم المرة	الصحو		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اسم المرة من الصحو). 1.""صحوة النائم"" : يقظته. 2.""صحوة النهار"": ارتفاع النهار. ""يعانق وجه الشمس في صحوة النهار"" (م. ل. المنفلوطي). 3.""الصحوة الإسلامية"" : الوثبة، اليقظة."
17	غلطة		غلط		اسم المرة	الغلط		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اسم المرة من الغلط). 1.""ارتكب غلطة فادحة"" : خطأ. 2.""في النص غلطة مطبعية"": تصحيف مخالف لما في النص "
18	بتة		بتة		اسم المرة	بت		مؤنث			مفرد	+ات			DnN	Pf			Tn									"بتة-بتة، البتة (اسم المرة من: بت).""الخمر لن أشربه البتة"" : قطعا، نهائيا، قرار لا رجعة فيه. ""هذا عمل لن أقوم به البتة""."
19	خفقة		خفق		اسم المرة	خفق		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"(اسم المرة من خفق). ""توالت خفقات قلبه"" : دقاته المتسارعة، نبضاته."
20	دورة		دور		اسم المرة	دار		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"دورة-دورة [د و ر] (اسم المرة من دار). 1.""الدورة الدموية"" : جريان الدم في حركته الدائمة في الجسم من الأوردة إلى الشرايين ومن الشرايين إلى الأوردة. 2.""دورة الحياة"" : مختلف المراحل التي يمر بها الكائن الحي من إنتاجه إلى إعادة إنتاجه. 3.""دورة المياه"" : المرحاض أو"
21	روحة		روح		اسم المرة	راح		مؤنث			مفرد	+ات			DnN	Pf			Tn	Rp								(اسم المرة من راح).
