إجهاض		جهض	"إجهاض-إجهاض [ج هـ ض] (مص. أجهض). 1.""أجرت عملية إجهاض"" : إسقاط الحمل. 2.""ساهم في إجهاض المشروع"" : في إفساده وإرباك إنجازه."
انقطاع		قطع	"انقطاع-انقطاع [ق ط ع] (مص. انقطع). 1.""لا أحد يعرف سبب انقطاع التيار الكهربائي"" : توق"
			جمع
طل		طلل	"(مص. طل). 1.""غمر الطل النبات"" : الندى. 2.""أصاب الطل الأرض "" : المطر الخفيف.البقرة آية 265 فإن لم يصبها وابل فطل (قرآن). 3.""سقاه طلا"" : لبنا. 4.""رجل طل"" : كبير السن."
جر		جرر	"جر-جر [ج ر ر] (مص. جر). 1."" لم يكن بإمكانه جر أي مغنم"" : أي اغتنام، كسب. 2. حروف ال"
بيان		بين	"بيان-بيان [ب ي ن] (مص. بان). 1.""صدر بيان"" : بلاغ. 2.""بيان حقيقة"" : توضيح للكشف وإظهار الحقيقة. 3.""من ادعى فعليه البيان"" : أي عليه الإثبات بالدليل. 4.""تحدث ببيان بليغ"" : بفصاحة، ببل"
ري		روي	"ري-ري [ر و ي] (اسم من ارتوى الشجر). 1.""يعيش في ري"" : في حسن حال ونعمة. 2.""ري الشجر"" : ارتواؤها."
ردة		ردد	"ردة-ردة [ر د د] (الاسم من الارتداد). 1. ""قضى على أهل الردة"" : الجماعة التي ارتدت عن الإسلام بعد موت النبي( . ""حرب الردة"" 2. ""لم هذه الردة "" : لم التخلي عن المعتقدات والمبادئ ."
تبوؤ		بوأ	"تبوؤ-تبوؤ [ب و أ]. ""حاول تبوؤ الصدارة"" : اتخاذه مكان الصدارة."
سر		سرر	(مص. سر يسر). : خط في باطن الكف، والوجه والجبهة.
حر		حرر	"(مص. حر). ""اشتد حر الصيف"" : سخونته، حرارته عكس البرد."
بول		بول	"(مص. بال). ""كثر بوله"" : الماء الذي نشربه وتقوم الكليتان بإفرازه، ويصل إلى المتانة، ويخرج من العضو التناسلي."
اختبار		خبر	"(مص. اختبر). 1.""اجتاز الاختبار الشفوي"" : الامتحان. 2. ""على سبيل الاختبار"": على "
تحكم		حكم	"تحكم-تحكم [ح ك م] (مص. تحكم) . ""التحكم في الشيء"" : ضبطه والتمكن منه، التصرف فيه. ""فقد قدرة التحكم في أعصابه"" ."
إتاحة		تيح	إتاحة-إتاحة [ت ي ح] (مص. أتاح
كرة		كرر	"(المرة من كر). ""كرة أخرى"" : حملة أخرى. ""كرة بعد كرة"" ""أعدت إليه الكرة في شيء من الرفق والاستعطاف"". (توفيق الحكيم)."
كمال		كمل	"كمال-كمال [ك م ل] (مص. كمل، كمل، كمل). 1.""كمال الجسم"" : تمامه، حسنه، قوامه الحسن. ""صفات الكمال"". 2.""أدى عمله على وجه الكمال"" : على أحسن وجه. 3.""له كمال الشيء"" : أي كله."
عب		عبب	"عب-عب [ع ب ب] (مص. عب). 1. ""فاجأه العب"" : البرد. 2. ""عب الشمس"" : ضوؤها."
حس		حسس	"حس-حس [ح س س] (مص. حس). 1.""سمع حسا خارج البيت"" : صوتا أو حركة خفية. 2.""ما يدركه المرء بإحدى حواسه الخمس. 3.""ما سمعت له حسا"" : خبرا. 4.""اشتد عليها الحس"" : ألم يصيب المرأة بعد الولادة. 5.""أصاب الحس الزرع"" : برد يحرق الزرع. 6.""بينهما حس مشترك"" : شعور. 7.""يتمتع بحس فني مرهف"" : الإدراك الفني، الإحساس الفني."
دقة		دقق	دقة-دقة [د ق ق]. 1.: توابل وما خلط بها من الأبزار. 2.: الملح وما خلط به من الأبزار. 3.: ملح مدقوق وحده. 4.: كزبرة.
رف		رفف	"(مص. رف). 1.""وضعه على الرف"" : طرحه جانبا، أهمله. 2.""وضع الكتاب على الرف"" : خشبة أو صفيحة أو معدن تشد إلى الحائط لتوضع عليه مختلف المواد. ""وضع الكتب على الرفوف"". 3.""مر رف من اللقالق"" : سرب. 4.""رف من الماشية"" : القطيع منها. 5.""كنت ألاحظ رفوف جفونه"" : اهتزازها، تحركها، رمشها."
اكتساب		كسب	"اكتساب-اكتساب [ك س ب] (مص. اكتسب). ""اكتساب المال"" : ربحه."
إجراء		جري	"(مص. أجرى). 1.""اتخذ الضابط إجراء"" : قرارا، تدبيرا. ""اتخذ إجراءات"
إنشاط		نشط	"إنشاط-إنشاط [ن ش ط] (مص. أنشط). ""إنشاط الولد"": جعله نشيطا..."
تفاعل		فعل	"تفاعل-تفاعل [ف ع ل] (مص. تفاعل). 1.""أصبح بينهما تفاعل مستمر"" : تأثير متبادل. 2.""تفاعل كيميائي"" : تغير يحدث"
شغل		شغل	"(مص. شغل). 1.""يبحث عن شغل"" : عن عمل. ""يهتم بأشغاله"". 2.""يحب الأشغال اليدوية"" : أي الأعمال اليدوية عكس الأعمال الفكرية. 3.""الدرس هو شغله الشاغل"" : هو ما يملأ به وقته وفراغه، أي لا فراغ لديه، عمله الدائم المستمر. ""في شغل شاغل"" ""في شغل شاغل عما حوله"". 4.""وزارة الشغل"" : أي الوزارة المهتمة بالعمل وما يتعلق به."
كي		كوي	"كي-كي [ك و ي] (مص. كوى). ""كي الجسد"" : إحراق الجلد بحديدة محماة للمعالجة أو غيرها. ""يعالج الناس بالكي""."
تكيف		كيف	"تكيف-تكيف [ك ي ف] (مص. تكيف). 1.""كان تكيف القاعة ملائما"" : ضبط درجة حر"
علم		علم	" [ع ل م] (مص. علم). 1.""له علم بحقيقة الأمور"" : إدراك الأمور على حقيقتها، له معرفة بها. ""لا علم له بما حصل"". 2. ""العلم نور"" : ما يقذفه الله في قلب من يحب. 3. ""علم: ج: علوم  المعرفة، مسائل تمس موضوعا معينا وتبحث أصوله وقوانينه : علوم اللغة العربية : علم النحو وعلم البلاغة... وعلوم الطبيعة : علم الكيمياء والفيزياء وعلم الفلك وعلم النبات والحيوان... والعلوم التطبيقية : علم الطب وعلم الهندسة والعلوم الإنسانية : الأدب والتاريخ والاجتماع والقانون..."
إضافة		ضيف	"إضافة-إضافة [ض ي ف] (مص. أضاف). 1.""إضافة نسخة جديدة إلى الملف"" : ضمها، إرفاقها. 2.""إضافة الرجل"": إنزاله ضيفا. 3.""إضافة كلمة إلى كلمة"" : نسبتها، ارتباطها بها. 4.""بالإضافة إلى ذلك ينبغي..."" : علاوة، زيادة. ""كان يزاول عملا آخر بالإضافة إلى عمله الرسمي""."
انضمام		ضمم	"انضمام-انضمام [ض م م ] (مص. انضم). ""يرغب في الانضمام إلى الحزب"" : في الدخول إليه، الالتحاق به، الانضواء."
فت		فتت	"فت-فت [ف ت ت] (مص. فت). 1.""فت الصخرة"" : شقها. 2.""طعامه من فت"" : خبز مشرب بماء اللحم، ثريد."
قل		قلل	"قل-قل [ق ل ل] (مص. قل). 1.""طعام قل"" : قليل. 2.""رجل قل"" : قصير الجثة. 3.""هو رجل قل"" : فرد لا أحد له. 4.""هو قل بن قل"" : أي لا يعرف هو ولا أبوه."
رس		رسس	"رس-رس [ر س س] (مص. رس). 1.""رس الخبر"" : طرف منه. 2.""رس الغرام"" : بقيته وأثره. 3.""رس ثمين"" : معدن ثمين. 4.""ترك له رسا"" : علامة. 5.""رس الكلام أو الحديث"": بدؤه. 6.""أصحاب الرس"" : أصحاب البئر رسوا نبيهم فيها فأهلكوا.ق آية 12 كذبت قبلهم قوم نوح وأصحاب الرس وثمود (قرآن)."
مجاورة		جور	"مجاورة-مجاورة [ج و ر] (مص. جاور). ""ذهب لمجاورة مكة"" : للاعتكاف بها."
ضبط		ضبط	"ضبط-ضبط [ض ب ط] (مص. ضبط). 1.""تمكن من ضبط أعصابه"" : من كبحها، من السيطرة عليها. ""ضبط النفس"". 2.""يهتم بضبط حسابه"" : بتسوية حسابه. 3.""وصل على الساعة العاشرة بالضبط"" : بالتمام. 4.""أنجز عمله بضبط محكم"" : بدقة. ""بالضبط""."
مديرية		دور	(مص. صناعي): مؤسسة إدارية حكومية خاضعة لسلطة مدير عام.
إدارة		دور	"(مص. أدار). 1. ""إدارة العمامة على الرأس"" : لفها. 2. ""إدارة العجلة"" : جعلها تدور. 3. إدارة الوجه"" : الإشاحة به. 4. ""عين مديرا على إدارة الم"
تقدم		قدم	"تقدم-تقدم [ق د م] (مص. تقدم). 1.""أحرز تقدما ملموسا في عمله"" : تحسنا، تدرجا. 2.""وقف على تقدم الأعمال"" : على سيرها. 3.""حققت البلاد تقدما اقتصاديا "
مفوضية		فوض	مفوضية-مفوضية [ف و ض] (مص. صناعي). : منصب المفو
تجميع		جمع	"تجميع-تجميع [ج م ع] (مص. جمع). 1.""تجميع الشمل"": جمعه، لمه. 2.""كل ما كان يهمه هو تجميع المال"" : جمعه وتكديسه، خزنه."
جمع		جمع	"(مص. جمع). 1.""سعى إلى جمع شمل العائلة"" : أي لم الشمل. 2.""جمع الكلمة"" : أي توحيد الرأي. 3.""احتشدت الجموع في الساحة العمومية"": الجماعات. 4.""هو من هواة جمع الطوابع"" : لمها. 5.""أولاد"" : جمع ولد، أي ما دل على أكثر من اثنين. 6.""حضر المعلمون""، ""توجه بخطاب إلى المعلمين"" : معلمون، معلمين جمع مذكر سالم، بقيت صورة مفرده على حالها وزيدت في آخره واو ونون للمذكر المرفوع، ويا"
اتفاق		وفق	"(مص. اتفق). 1.""حصل اتفاق بينهما"" : تعاقد في أمر ما، ما بين فريقين أو شخصين أو أكثر. ""اتفاق "
رذاذ		رذذ	"رذاذ-رذاذ [ر ذ ذ] (مص. رذ). ""أمطرت السماء رذاذا طول النهار"" : مطرا خفيفا."
